step,reward_decomposition/total_token_score_sum_mean,reward_decomposition/search_reward_sum_mean,reward_decomposition/answer_reward_sum_mean,reward_decomposition/invalid_search_count_mean,ppo_chain/token_level_scores_mean,ppo_chain/token_level_rewards_mean,ppo_chain/advantages_mean,actor/pg_loss,actor/ppo_kl,actor/entropy_loss,critic/vf_loss,critic/vf_explained_var,critic/kl,env/number_of_actions/mean,env/number_of_valid_search,env/finish_ratio,response_length/mean,response_length/clip_ratio,val/test_score/nq,val/test_score/hotpotqa
36,-0.3,-0.3,0.0,0.0,-0.001,-0.001,0.137,-0.013,-0.002,1.513,0.036,0.211,0.019,3.0,0.5,0.0,421.0,0.5,,
37,-0.8,-0.3,0.0,0.5,-0.002,-0.002,0.0,0.002,-0.002,1.876,0.13,-0.035,0.01,3.0,1.0,0.0,512.0,1.0,,
38,-0.25,-0.25,0.0,0.0,-0.0,-0.0,-0.737,0.018,-0.001,1.456,0.197,-0.094,0.031,3.0,0.5,0.0,435.5,0.5,,
39,-0.25,-0.25,0.0,0.0,-0.0,-0.0,-0.0,-0.003,0.0,1.923,0.029,-0.348,0.023,3.0,1.0,0.0,512.0,1.0,,
40,-0.25,-0.25,0.0,0.0,-0.0,-0.0,0.483,0.035,-0.007,1.321,0.053,-0.061,0.029,3.0,0.5,0.0,412.5,0.5,,
41,-0.25,-0.25,0.0,0.0,-0.0,-0.0,0.055,-0.002,-0.001,1.576,0.036,0.096,0.019,3.0,0.5,0.0,454.0,0.5,,
42,-0.25,-0.25,0.0,0.0,-0.0,-0.0,-0.414,0.007,-0.001,1.577,0.107,0.103,0.009,3.0,0.5,0.0,459.0,0.5,,
43,-0.25,-0.25,0.0,0.0,-0.0,-0.0,-0.409,0.056,-0.004,1.711,0.031,0.092,0.009,3.0,0.5,0.0,395.5,0.5,,
44,-0.25,-0.25,0.0,0.0,-0.0,-0.0,0.758,0.012,-0.0,1.359,0.067,0.392,0.028,3.0,0.5,0.0,406.0,0.5,,
45,-0.25,-0.25,0.0,0.0,-0.0,-0.0,0.0,-0.005,-0.0,1.87,0.018,0.478,0.009,3.0,1.0,0.0,512.0,1.0,,
46,-0.9,-0.4,0.0,1.0,-0.002,-0.002,-0.0,0.004,0.002,1.816,0.19,0.189,-0.001,3.0,0.5,0.0,512.0,1.0,,
47,-0.3,-0.3,0.0,0.0,-0.001,-0.001,-0.239,-0.022,-0.0,1.019,0.209,0.099,0.009,3.0,0.0,0.0,465.5,0.5,,
48,-0.3,-0.3,0.0,0.0,-0.001,-0.001,0.0,-0.001,-0.003,1.297,0.035,0.267,0.018,3.0,0.0,0.0,462.0,1.0,,
49,-0.8,-0.3,0.0,0.5,-0.002,-0.002,0.067,0.046,0.001,2.067,0.301,0.179,0.028,3.0,0.5,0.0,483.5,0.5,,
50,-0.3,-0.3,0.0,0.0,-0.001,-0.001,0.215,0.075,-0.003,1.67,0.026,0.345,0.023,3.0,1.0,0.0,467.5,0.5,0.0,0.02
51,-0.375,-0.375,0.0,0.0,-0.001,-0.001,-0.361,0.229,-0.0,1.597,0.081,0.234,0.023,3.0,1.0,0.0,409.0,0.5,,
52,-0.475,-0.475,0.0,0.0,-0.001,-0.001,-0.061,0.013,0.002,1.098,0.042,0.226,0.02,3.0,1.0,0.0,470.0,0.5,,
53,-0.25,-0.25,0.0,0.0,-0.0,-0.001,0.0,-0.001,-0.0,1.407,0.036,0.375,0.046,3.0,0.5,0.0,512.0,1.0,,
54,-1.0,-0.5,0.0,1.0,-0.002,-0.002,0.276,0.21,0.003,1.4,0.72,0.041,0.017,3.0,0.0,0.0,374.5,0.5,,
55,-0.25,-0.25,0.0,0.0,-0.0,-0.001,0.117,0.007,0.001,1.666,0.054,0.337,0.042,3.0,0.5,0.0,496.0,0.5,,
56,-0.25,-0.25,0.0,0.0,-0.0,-0.0,-0.377,0.034,0.003,1.455,0.061,0.294,0.012,3.0,0.5,0.0,429.0,0.5,,
57,-0.3,-0.3,0.0,0.0,-0.001,-0.001,-0.47,0.006,0.002,1.198,0.052,0.257,0.042,3.0,0.0,0.0,381.5,0.5,,
58,-0.3,-0.3,0.0,0.0,-0.001,-0.001,-0.001,-0.026,0.002,1.287,0.007,0.262,0.041,3.0,0.0,0.0,432.5,0.5,,
59,-0.25,-0.25,0.0,0.0,-0.0,-0.0,-0.048,0.029,0.008,1.696,0.008,0.239,0.022,3.0,0.5,0.0,446.5,0.5,,
60,-0.75,-0.25,0.0,0.0,-0.001,-0.001,0.034,0.047,0.006,1.533,0.154,0.18,0.073,3.0,0.5,0.0,485.0,0.5,,
61,-0.25,-0.25,0.0,0.0,-0.0,-0.001,-0.488,0.063,0.005,1.328,0.037,0.424,0.087,3.0,0.5,0.0,432.0,0.5,,
62,-0.05,-0.05,0.0,0.0,-0.0,-0.0,-0.052,-0.013,0.01,1.154,0.021,-3.686,0.031,2.0,0.0,1.0,255.0,0.5,,
63,-0.25,-0.25,0.0,0.0,-0.0,-0.0,0.765,-0.057,0.007,1.665,0.238,0.041,0.007,3.0,0.5,0.0,454.0,0.5,,
64,-0.25,-0.25,0.0,0.0,-0.0,-0.001,0.468,0.04,0.004,1.552,0.101,0.544,0.059,3.0,0.5,0.5,473.0,0.5,,
65,-0.2,-0.2,0.0,0.0,-0.0,-0.0,-0.004,0.002,0.005,2.117,0.033,-0.06,0.053,3.0,1.0,0.0,509.5,0.5,,
66,-0.3,-0.3,0.0,0.0,-0.001,-0.001,-0.542,-0.051,0.007,1.103,0.032,0.535,0.048,3.0,0.0,0.5,365.5,0.5,,
67,-0.25,-0.25,0.0,0.0,-0.0,-0.001,0.008,0.079,0.002,1.445,0.04,0.605,0.048,3.0,0.5,0.0,420.0,0.5,,
68,-0.125,-0.125,0.0,0.0,-0.0,-0.0,1.256,-0.256,0.013,1.706,0.08,0.002,0.055,2.5,0.5,0.5,373.5,0.5,,
69,-0.2,-0.2,0.0,0.0,-0.0,-0.0,0.0,-0.002,0.0,1.856,0.038,0.589,0.067,3.0,1.0,0.0,512.0,1.0,,
70,-0.225,-0.225,0.0,0.0,-0.001,-0.001,-0.169,-0.251,0.008,1.241,0.045,-0.044,0.107,2.5,0.5,0.5,288.5,0.5,,
71,-0.75,-0.25,0.0,0.0,-0.001,-0.002,-0.035,-0.046,0.005,1.398,0.076,0.032,0.075,3.0,0.5,0.0,481.0,0.5,,
72,-0.3,-0.3,0.0,0.0,-0.001,-0.001,-1.24,-0.04,-0.001,1.353,0.109,0.573,0.069,3.0,0.0,0.0,403.0,0.5,,
73,-0.25,-0.25,0.0,0.0,-0.0,-0.001,-0.153,0.04,0.006,1.69,0.01,0.58,0.062,3.0,0.5,0.0,480.0,0.5,,
74,-0.175,-0.175,0.0,0.0,-0.001,-0.001,0.28,-0.161,0.003,0.972,0.043,-0.125,0.086,2.5,0.0,0.5,281.0,0.5,,
75,-0.675,-0.175,0.0,0.5,-0.001,-0.001,0.251,0.209,0.009,1.454,0.231,0.158,0.018,2.5,0.5,0.5,410.5,0.5,,
76,0.325,-0.175,0.5,0.0,0.001,0.001,-0.266,-0.327,0.013,0.937,0.63,-0.183,0.075,2.5,0.0,0.5,374.5,0.5,,
77,-0.125,-0.125,0.0,0.0,-0.0,-0.0,-1.762,-0.304,0.017,1.362,0.13,0.109,0.058,2.5,0.5,0.5,364.0,0.5,,
78,-0.75,-0.25,0.0,0.0,-0.001,-0.001,0.053,0.146,-0.001,1.587,0.265,0.161,0.077,3.0,0.5,0.5,437.0,0.5,,
79,-0.3,-0.3,0.0,0.0,-0.001,-0.001,0.651,0.03,0.003,0.907,0.086,0.656,0.083,3.0,0.0,0.0,337.5,0.5,,
80,-0.8,-0.3,0.0,0.5,-0.002,-0.002,0.218,0.195,0.009,1.531,0.337,0.164,0.087,3.0,0.5,0.0,417.5,0.5,,
81,-0.3,-0.3,0.0,0.0,-0.001,-0.001,-0.207,-0.025,0.017,0.802,0.036,0.7,0.093,3.0,0.0,0.0,407.5,0.5,,
82,-0.8,-0.3,0.0,0.0,-0.002,-0.002,0.009,-0.185,0.009,0.988,0.099,0.174,0.048,3.0,0.0,0.0,406.5,0.5,,
83,-0.75,-0.25,0.0,0.0,-0.001,-0.002,-0.002,0.233,0.011,1.333,0.132,0.262,0.113,3.0,0.5,0.0,408.5,0.5,,
84,-0.675,-0.175,0.0,0.0,-0.002,-0.002,-0.043,-0.178,0.036,1.181,0.222,0.063,0.129,2.5,0.0,1.0,290.5,0.5,,
85,-0.175,-0.175,0.0,0.0,-0.001,-0.001,-1.323,-0.224,0.006,0.907,0.252,0.38,0.193,2.5,0.0,0.5,238.5,0.5,,
86,-0.8,-0.3,0.0,0.0,-0.002,-0.002,0.037,0.14,0.009,0.695,0.099,0.166,0.119,3.0,0.0,0.5,359.0,0.5,,
87,-0.125,-0.125,0.0,0.0,-0.0,-0.0,-0.171,-0.297,-0.004,1.56,0.033,-0.364,0.106,2.5,0.5,0.5,378.5,0.5,,
88,-0.175,-0.175,0.5,0.0,-0.0,-0.001,0.086,-0.185,0.017,0.895,0.524,-0.021,0.054,2.5,0.0,0.5,297.0,0.5,,
89,-0.675,-0.175,0.0,0.0,-0.002,-0.002,0.223,-0.132,-0.002,0.698,0.576,-0.016,0.1,2.5,0.0,0.5,247.0,0.5,,
90,-0.675,-0.175,0.0,0.0,-0.002,-0.002,0.32,-0.197,0.005,0.889,0.39,0.057,0.113,2.5,0.0,0.5,287.0,0.5,,
91,0.375,-0.125,0.5,0.0,0.001,0.001,-0.247,-0.307,0.012,1.287,0.469,-0.095,0.104,2.5,0.5,0.5,388.0,0.5,,
92,-0.8,-0.3,0.0,0.0,-0.002,-0.003,0.004,-0.01,0.013,0.707,0.132,0.143,0.148,3.0,0.0,0.0,319.0,0.5,,
93,0.325,-0.175,0.5,0.0,0.001,0.001,-0.395,-0.31,-0.014,0.785,0.684,0.016,0.196,2.5,0.0,0.5,252.0,0.5,,
94,-0.05,-0.05,0.0,0.0,-0.0,-0.0,-0.447,-0.002,0.009,1.202,0.035,-2.007,0.124,2.0,0.0,1.0,238.5,0.5,,
95,-0.3,-0.3,0.0,0.0,-0.001,-0.001,1.28,-0.077,0.015,0.599,0.273,0.698,0.106,3.0,0.0,0.0,398.5,0.5,,
96,-0.05,-0.05,0.0,0.0,-0.0,-0.0,1.914,-0.084,0.006,0.898,0.226,-2.376,0.127,2.0,0.0,1.0,258.0,0.5,,
97,-1.125,-0.125,0.0,0.0,-0.002,-0.002,0.527,-0.35,0.001,1.355,0.791,-0.013,0.122,2.5,0.5,1.0,376.0,0.5,,
98,0.275,-0.225,0.5,0.0,0.001,0.001,-0.065,-0.117,0.003,0.751,0.585,-0.015,0.085,2.5,0.5,0.5,266.0,0.5,,
99,-0.05,-0.05,0.0,0.0,-0.0,-0.0,-0.52,-0.009,0.014,0.856,0.449,-2.267,0.171,2.0,0.0,1.0,232.5,0.5,,
100,-0.55,-0.05,0.0,0.0,-0.002,-0.002,-0.009,-0.001,-0.023,1.093,0.272,-0.055,0.147,2.0,0.0,1.0,241.5,0.5,0.041,0.078
101,-0.675,-0.175,0.0,0.0,-0.002,-0.002,-0.016,-0.161,0.009,0.712,0.133,-0.004,0.169,2.5,0.0,0.5,284.0,0.5,,
102,-0.675,-0.175,0.0,0.0,-0.002,-0.002,0.069,-0.159,-0.004,0.961,0.251,0.038,0.125,2.5,0.0,0.5,323.0,0.5,,
103,-1.3,-0.3,0.0,0.0,-0.004,-0.004,0.192,0.008,0.0,0.574,0.642,0.251,0.114,3.0,0.0,1.0,342.5,0.5,,
104,-0.05,-0.05,0.0,0.0,-0.0,-0.0,0.017,0.003,0.015,0.748,0.005,-1.099,0.196,2.0,0.0,1.0,221.0,0.5,,
105,-0.05,-0.05,0.0,0.0,-0.0,-0.0,-0.389,-0.048,0.012,0.976,0.014,-2.294,0.081,2.0,0.0,1.0,260.0,0.5,,
106,-0.05,-0.05,0.0,0.0,-0.0,-0.0,0.004,-0.007,0.014,0.825,0.001,-0.93,0.167,2.0,0.0,1.0,240.5,0.5,,
107,-0.175,-0.175,0.5,0.0,-0.0,-0.0,0.049,-0.288,0.022,0.771,0.529,0.023,0.122,2.5,0.0,1.0,341.5,0.5,,
108,0.45,-0.05,0.5,0.0,0.002,0.002,-0.187,0.136,0.015,0.805,0.416,-0.057,0.124,2.0,0.0,1.0,187.0,0.5,,
109,-0.675,-0.175,0.0,0.0,-0.003,-0.003,0.026,0.007,0.003,0.573,0.25,0.008,0.125,2.5,0.0,0.5,240.0,0.5,,
110,0.325,-0.175,0.5,0.0,0.001,0.001,0.053,-0.299,0.0,0.695,0.251,-0.076,0.194,2.5,0.0,0.5,277.0,0.5,,
111,-0.675,-0.175,0.0,0.0,-0.002,-0.002,0.189,-0.067,-0.009,0.725,0.585,0.037,0.162,2.5,0.0,0.5,263.0,0.5,,
112,-0.675,-0.175,0.0,0.0,-0.002,-0.002,0.425,-0.217,0.015,0.796,0.379,0.052,0.148,2.5,0.0,0.5,303.0,0.5,,
113,-0.85,-0.35,0.0,0.0,-0.002,-0.002,0.212,-0.137,0.012,0.734,0.193,0.111,0.058,3.0,0.5,0.5,331.5,0.5,,
114,-0.05,-0.05,0.0,0.0,-0.0,-0.0,-0.901,0.006,0.01,0.935,0.365,-0.766,0.145,2.0,0.0,1.0,235.5,0.5,,
115,-0.675,-0.175,0.0,0.0,-0.002,-0.002,-0.118,-0.253,-0.01,0.854,0.235,-0.047,0.124,2.5,0.0,1.0,321.5,0.5,,
116,-0.675,-0.175,0.0,0.0,-0.003,-0.003,-0.038,-0.03,0.001,0.48,0.236,0.007,0.127,2.5,0.0,1.0,244.5,0.5,,
