Method,Total,EM,F1,Avg Search,Search Mismatch,Invalid Search Format,Answer Missing,Avg Answer Reward,Avg Final Reward
direct,500,0.072,0.1476484216445793,0.0,0,0,2,0.1476484216445793,0.1436484216445793
always_retrieve,500,0.012,0.13802502028995572,1.0,0,0,4,0.13802502028995572,0.3300250202899553
rule_based,500,0.06,0.1419741569251051,0.212,7,0,3,0.1419741569251051,0.1685741569251052
prompt_self_routing,500,0.016,0.1224451755675492,1.102,470,0,5,0.1224451755675492,-0.0836548244324508
