step,reward_decomposition/total_token_score_sum_mean,reward_decomposition/search_reward_sum_mean,reward_decomposition/answer_reward_sum_mean,reward_decomposition/invalid_search_count_mean,reward_decomposition/search_mismatch_count_mean,reward_decomposition/malformed_action_count_mean,reward_decomposition/full_format_valid_mean,ppo_chain/token_level_scores_mean,ppo_chain/token_level_rewards_mean,ppo_chain/advantages_mean,actor/pg_loss,actor/ppo_kl,actor/entropy_loss,critic/vf_loss,critic/vf_explained_var,critic/kl,env/number_of_actions/mean,env/number_of_valid_search,env/finish_ratio,response_length/mean,response_length/clip_ratio,val/test_score/nq,val/test_score/hotpotqa
34,-0.85,-0.35,0.0,0.5,,,,-0.002,-0.002,0.001,-0.003,-0.0,1.488,0.084,0.252,0.0,3.0,0.5,0.0,508.0,0.5,,
35,-0.425,-0.425,0.0,0.0,,,,-0.001,-0.001,0.235,0.104,-0.001,1.454,0.081,0.114,-0.002,3.0,0.5,0.0,445.5,0.5,,
36,-0.2,-0.2,0.0,0.0,,,,-0.0,-0.0,0.0,-0.005,-0.001,1.858,0.008,-0.524,-0.007,3.0,1.0,0.0,512.0,1.0,,
37,-0.95,-0.45,0.0,1.0,,,,-0.002,-0.002,0.0,0.001,-0.001,1.274,0.232,0.058,0.003,3.0,0.0,0.0,512.0,1.0,,
38,-0.8,-0.3,0.0,0.0,,,,-0.002,-0.002,0.004,0.02,0.001,1.371,0.125,0.003,0.02,3.0,0.0,0.0,483.5,0.5,,
39,-0.85,-0.35,0.0,0.5,,,,-0.002,-0.002,-0.001,0.006,-0.0,1.754,0.191,-0.026,-0.012,3.0,0.5,0.0,505.0,0.5,,
40,-0.3,-0.3,0.0,0.0,,,,-0.001,-0.001,-0.101,0.018,0.005,1.79,0.333,-6.274,0.001,3.0,0.5,0.0,487.5,0.5,,
41,-0.25,-0.25,0.0,0.0,,,,-0.0,-0.0,0.0,-0.005,0.001,1.736,0.051,0.187,-0.012,3.0,0.5,0.0,512.0,1.0,,
42,-0.95,-0.45,0.0,1.0,,,,-0.002,-0.002,-0.0,-0.003,0.002,1.614,0.577,0.185,0.007,3.0,0.0,0.0,512.0,1.0,,
43,-0.25,-0.25,0.0,0.0,,,,-0.0,-0.0,0.123,0.013,0.001,1.489,0.044,0.216,0.014,3.0,0.5,0.0,492.5,0.5,,
44,-0.25,-0.25,0.0,0.0,,,,-0.0,-0.0,-0.078,0.04,0.002,1.927,0.009,0.345,0.02,3.0,0.5,0.0,466.0,0.5,,
45,-0.3,-0.3,0.0,0.0,,,,-0.001,-0.001,-0.026,-0.004,0.003,1.139,0.008,0.379,0.024,3.0,0.0,0.0,495.5,0.5,,
46,-0.3,-0.3,0.0,0.0,,,,-0.001,-0.001,-0.219,-0.057,0.005,1.556,0.006,0.471,0.015,3.0,0.0,0.0,413.0,0.5,,
47,-0.25,-0.25,0.0,0.0,,,,-0.0,-0.0,0.352,-0.064,0.001,1.783,0.064,-0.674,-0.05,3.0,0.5,0.0,445.0,0.5,,
48,-0.75,-0.25,0.0,2.0,,,,-0.002,-0.002,0.195,0.142,0.001,1.113,0.09,0.339,0.008,3.0,0.0,0.0,339.5,0.5,,
49,-0.175,-0.175,0.0,0.0,,,,-0.0,-0.0,-0.453,-0.192,-0.0,1.197,0.244,-1.709,0.03,2.5,0.0,0.5,383.0,0.5,,
50,-0.25,-0.25,0.0,0.0,,,,-0.0,-0.0,-0.0,-0.001,0.001,2.018,0.227,-0.047,0.024,3.0,0.5,0.0,512.0,1.0,0.0,0.02
51,-0.3,-0.3,0.0,0.0,,,,-0.001,-0.001,-0.002,-0.002,0.001,1.327,0.024,0.002,0.014,3.0,0.0,0.0,510.5,0.5,,
52,-0.75,-0.25,0.0,0.0,,,,-0.001,-0.001,0.045,-0.01,-0.003,1.526,0.248,0.387,-0.002,3.0,0.5,0.0,499.0,0.5,,
53,-0.3,-0.3,0.5,0.0,,,,-0.001,-0.001,0.166,-0.002,0.001,1.457,0.043,-1.569,0.024,3.0,0.0,0.0,459.5,0.5,,
54,-0.8,-0.3,0.0,0.0,,,,-0.002,-0.002,-0.025,0.101,0.002,1.436,0.244,0.226,0.039,3.0,0.0,0.0,459.5,0.5,,
55,-0.8,-0.3,0.0,0.0,,,,-0.002,-0.002,-0.084,-0.026,0.003,1.297,0.508,0.063,0.035,3.0,0.0,0.0,469.5,0.5,,
56,-0.3,-0.3,0.0,0.0,,,,-0.001,-0.001,-0.125,-0.002,0.002,1.169,0.552,0.033,0.008,3.0,0.0,0.0,504.5,0.5,,
57,-0.3,-0.3,0.0,0.0,,,,-0.001,-0.001,-0.318,-0.001,0.002,1.673,0.069,-0.308,0.033,3.0,0.0,0.0,464.0,0.5,,
58,-0.2,-0.2,0.0,0.0,,,,-0.0,-0.0,-0.0,-0.002,0.005,2.269,0.055,-0.824,0.039,3.0,1.0,0.0,512.0,1.0,,
59,-0.3,-0.3,0.0,0.0,,,,-0.001,-0.001,0.029,-0.007,0.006,0.998,0.048,-0.717,0.02,3.0,0.0,0.0,504.0,0.5,,
